math_interest,engineering_skills,medicine_interest,arts_creativity,business_interest,agriculture_interest,writing_skill,communication_skill,tech_interest,biology_interest,stress_tolerance,teamwork,logical_reasoning,problem_solving,sports_interest,leadership,language_proficiency,scientific_thinking,cooking_hospitality,risk_taking,career_path
3,1,4,4,1,2,1,3,1,1,2,3,5,5,4,1,4,2,5,1,Software Developer
2,2,1,2,1,1,3,4,2,2,3,3,3,5,5,5,1,2,4,1,Software Developer
2,2,3,3,1,3,2,3,5,3,2,1,4,3,2,4,4,5,4,2,Software Developer
2,3,3,3,4,4,5,3,1,5,1,4,5,5,2,4,4,5,4,5,Biologist
2,5,4,4,5,5,5,3,4,4,3,5,2,5,5,3,4,5,4,1,Farmer
4,2,2,5,4,5,3,2,5,3,5,4,4,4,4,1,3,3,4,1,Software Developer
4,1,4,2,2,5,4,3,5,2,4,5,4,2,5,2,1,2,4,3,Software Developer
2,3,1,5,5,3,5,2,3,4,2,2,2,4,1,5,3,1,3,5,Entrepreneur
4,2,2,4,1,1,3,4,1,4,5,2,2,2,4,4,3,2,3,2,Lawyer
3,3,5,3,4,3,2,3,1,2,1,2,4,4,4,1,5,2,4,2,Software Developer
1,5,1,2,5,5,1,4,2,3,3,1,2,2,1,2,4,1,4,2,Lawyer
1,2,1,2,4,4,2,1,3,4,4,3,2,1,2,5,4,5,4,4,Entrepreneur
5,5,2,5,2,2,2,4,4,5,4,5,4,1,1,5,4,4,2,3,Software Developer
5,3,3,5,4,5,3,4,1,5,5,4,1,1,4,2,5,5,3,4,Biologist
3,3,1,5,3,1,4,3,5,3,4,3,5,1,5,1,2,5,5,4,Software Developer
3,1,1,4,4,3,3,5,2,3,4,3,1,2,5,1,1,2,5,4,Army Officer
5,3,1,3,4,3,5,3,4,4,4,5,4,1,4,3,3,3,5,3,Software Developer
5,5,4,1,4,4,5,5,3,3,4,2,2,3,2,3,5,4,1,4,Reporter
3,3,4,3,2,2,3,3,2,3,3,4,1,2,4,1,3,3,4,3,Nurse
5,4,1,4,2,4,3,3,5,5,5,1,5,1,5,1,4,4,3,1,Software Developer
2,3,4,1,5,2,4,3,1,2,1,5,3,1,4,3,4,1,3,4,Entrepreneur
5,5,1,3,2,3,5,4,2,1,2,1,2,1,1,2,2,1,5,2,Civil Engineer
3,4,1,1,4,5,4,2,4,1,4,3,2,4,1,2,1,5,3,5,Software Developer
3,4,2,4,3,3,3,1,2,4,4,5,3,3,3,4,5,1,2,1,Software Developer
4,3,2,4,4,4,2,2,5,5,1,2,2,2,5,4,3,5,2,5,Software Developer
1,2,1,2,5,4,3,1,5,4,5,1,3,5,2,4,5,4,2,3,Software Developer
3,2,4,5,2,1,4,3,2,3,4,3,2,4,1,2,5,2,4,2,Reporter
1,1,5,3,4,4,3,1,1,2,5,5,5,2,5,3,2,3,2,5,Nurse
3,3,3,2,4,5,3,4,5,5,3,3,2,4,4,3,5,3,5,5,Software Developer
3,1,4,5,5,1,2,1,1,5,4,1,2,3,1,1,2,4,1,1,Doctor
4,2,1,4,1,3,5,3,1,2,5,3,4,2,3,4,1,4,3,3,Software Developer
1,4,4,1,4,1,2,3,2,5,5,5,1,4,2,2,2,2,5,2,Chef
4,5,2,1,3,3,3,5,2,5,4,1,1,3,3,3,2,4,4,4,Civil Engineer
4,3,1,3,4,3,4,5,1,5,2,3,2,3,5,4,4,3,4,5,Entrepreneur
4,5,2,5,1,1,1,3,3,3,5,3,2,1,5,1,3,5,4,2,Chef
3,3,2,2,4,3,3,1,5,5,1,5,2,5,5,1,4,5,5,4,Software Developer
1,4,1,2,1,2,2,1,3,1,5,5,3,2,3,5,3,1,3,2,Chef
1,4,5,5,3,1,4,1,5,1,4,3,2,1,2,5,3,3,1,3,Graphic Designer
1,1,2,3,1,2,4,2,2,1,5,5,5,2,1,3,2,2,1,4,Nurse
2,4,4,5,1,4,1,5,1,2,4,1,3,1,4,5,5,4,2,2,Lawyer
5,5,4,2,5,2,5,1,3,1,5,3,3,5,5,2,5,4,5,4,Software Developer
5,2,4,1,4,2,4,5,5,2,3,5,1,2,4,4,1,5,2,1,Software Developer
5,2,4,2,3,2,3,2,3,4,5,3,3,4,3,1,4,1,4,3,Software Developer
1,3,4,3,1,1,3,2,4,4,3,2,1,5,5,3,2,2,4,1,Software Developer
2,5,1,1,3,2,3,2,4,3,3,5,3,2,5,3,3,4,3,1,Software Developer
5,1,5,4,3,3,3,5,3,1,3,4,1,3,3,2,5,1,2,4,Teacher
5,1,3,1,3,5,3,4,3,4,5,5,1,4,4,2,2,2,3,2,Software Developer
4,3,5,1,2,5,4,1,5,1,2,4,1,5,2,2,5,5,1,3,Software Developer
2,1,5,1,5,4,5,5,5,3,5,2,2,1,3,1,2,2,4,5,Doctor
2,1,1,5,5,4,3,1,5,1,5,2,1,2,1,3,4,2,5,3,Graphic Designer
1,2,1,1,1,4,4,5,2,3,3,3,1,4,2,1,4,4,2,2,Reporter
2,1,5,2,5,1,5,3,5,2,1,2,3,2,2,2,4,3,2,2,Software Developer
2,1,4,1,4,2,3,5,5,2,1,3,4,2,3,3,4,3,1,1,Software Developer
1,3,1,4,3,5,3,4,5,3,1,2,2,1,2,2,1,1,3,3,Graphic Designer
1,4,2,3,2,5,1,4,5,5,5,1,3,1,3,5,5,4,3,5,Lawyer
2,4,1,4,2,3,1,1,3,4,5,4,2,5,4,3,2,2,2,5,Army Officer
1,5,4,1,4,1,5,2,3,2,5,1,2,5,4,3,2,1,4,5,Army Officer
3,1,5,5,2,2,1,5,2,3,3,5,2,1,1,1,3,2,2,3,Nurse
1,1,5,4,2,2,2,4,5,4,1,1,2,3,2,3,4,1,3,4,Software Developer
1,3,2,2,2,4,2,5,1,4,2,1,3,2,1,5,3,5,1,5,Entrepreneur
1,1,5,1,2,1,4,1,4,1,1,5,2,2,3,5,5,2,5,2,Hotel Manager
5,1,2,2,4,5,5,2,1,1,1,5,4,2,3,4,3,4,1,5,Farmer
3,4,5,3,2,4,2,1,2,2,4,1,2,5,3,2,1,2,3,1,Software Developer
4,1,4,1,3,3,1,2,3,4,4,5,4,5,1,1,1,2,2,5,Software Developer
4,4,1,3,2,2,1,2,1,5,4,3,4,4,5,2,3,2,4,1,Software Developer
4,2,4,1,5,2,4,2,5,4,4,2,2,1,5,1,4,2,4,4,Army Officer
3,3,4,2,4,3,2,4,5,5,4,2,4,4,3,5,3,3,4,3,Software Developer
5,3,5,3,5,3,3,2,5,5,5,1,3,5,1,2,5,5,1,3,Software Developer
2,5,3,2,4,4,2,1,2,2,1,1,3,3,1,4,4,2,5,2,Software Developer
2,5,1,4,2,5,3,2,4,1,2,2,5,3,3,1,4,1,2,2,Software Developer
3,4,5,4,2,5,4,4,5,2,4,5,2,5,5,4,2,4,1,1,Software Developer
2,5,4,4,2,2,1,3,2,3,2,5,5,1,1,3,2,4,1,4,Nurse
4,2,3,2,1,4,2,2,2,1,3,2,1,4,5,1,5,2,2,1,Software Developer
5,2,4,3,3,2,5,2,5,4,5,2,4,1,3,2,2,2,4,1,Software Developer
5,1,4,2,3,2,5,3,2,3,1,4,2,5,1,2,1,5,2,5,Software Developer
3,5,3,2,3,2,2,4,2,3,4,4,2,5,5,4,2,5,2,2,Civil Engineer
4,4,1,5,5,5,3,2,4,5,1,5,2,2,4,3,4,5,1,4,Farmer
3,4,2,5,5,5,5,5,5,1,3,5,3,5,4,5,2,1,4,4,Software Developer
2,5,1,4,1,4,5,4,4,3,5,2,2,5,2,5,2,3,2,4,Software Developer
5,1,1,5,3,2,3,1,5,5,3,3,2,4,4,2,4,1,4,2,Software Developer
4,5,3,1,5,5,2,3,3,1,2,1,4,5,1,5,2,4,2,4,Software Developer
4,5,2,2,1,2,1,3,3,3,2,2,1,4,1,3,1,4,2,1,Civil Engineer
3,3,2,1,4,2,1,5,3,4,4,4,3,1,2,1,2,4,1,4,Lawyer
5,4,4,2,5,4,4,5,5,1,2,5,5,3,5,2,4,4,4,4,Software Developer
3,5,4,1,4,5,4,3,2,2,5,2,2,1,5,5,2,2,2,3,Army Officer
4,3,5,1,4,1,5,5,1,1,1,5,2,1,4,5,3,3,4,2,Hotel Manager
1,5,1,5,3,1,4,2,4,2,1,1,2,3,5,4,4,4,1,4,Graphic Designer
5,5,2,1,5,3,1,1,5,3,2,5,3,1,3,1,5,5,4,4,Software Developer
4,5,2,5,3,5,5,1,1,1,5,2,3,3,2,2,3,4,1,1,Civil Engineer
3,2,4,3,1,5,2,5,3,1,4,5,4,1,5,4,4,5,1,4,Farmer
3,5,2,2,1,3,4,2,1,3,3,1,1,4,1,4,4,5,3,3,Civil Engineer
3,5,4,4,1,5,1,5,1,2,3,3,4,2,3,4,2,3,1,5,Farmer
2,4,2,4,2,4,3,1,3,1,3,3,2,5,4,4,4,1,4,4,Software Developer
2,3,4,5,4,1,1,1,4,2,5,4,2,2,4,4,2,2,2,4,Nurse
2,1,4,1,3,4,3,2,2,5,2,3,2,4,2,5,2,3,3,2,Doctor
3,3,5,4,5,1,5,2,4,2,1,4,3,5,2,1,3,5,3,5,Software Developer
4,3,3,3,4,1,5,3,4,1,5,4,5,3,1,4,1,3,1,1,Software Developer
2,1,5,4,2,4,4,3,3,2,3,3,3,4,2,4,5,4,5,1,Software Developer
1,5,5,4,5,2,1,1,5,3,3,5,2,3,5,2,2,4,2,3,Nurse
3,5,5,2,1,4,1,2,2,1,4,1,5,3,5,3,2,4,1,4,Software Developer
1,5,5,1,4,1,2,5,2,5,5,3,2,2,3,4,2,1,3,2,Doctor
4,2,5,1,3,5,4,5,5,4,5,3,2,5,3,2,2,5,3,5,Software Developer
4,2,5,2,3,1,5,5,2,3,4,3,5,4,3,1,2,3,3,1,Software Developer
5,2,3,4,3,2,3,1,3,3,4,1,1,3,4,3,3,2,2,4,Software Developer
5,2,5,1,2,2,4,5,2,2,4,4,5,1,1,3,2,5,2,5,Software Developer
5,5,2,4,2,5,3,1,5,3,4,5,3,5,2,3,2,2,3,1,Software Developer
3,1,5,5,3,5,4,2,2,1,5,1,2,2,5,4,4,5,5,1,Doctor
5,4,5,1,1,1,1,3,5,2,5,3,1,3,4,4,5,5,2,2,Software Developer
4,1,3,2,2,1,1,5,3,1,2,2,4,1,5,3,5,2,5,2,Software Developer
2,2,2,2,4,5,4,4,1,1,1,3,1,5,4,5,1,3,3,4,Entrepreneur
5,2,5,1,2,3,4,4,3,1,3,1,2,3,1,2,3,4,3,5,Software Developer
3,5,2,3,2,2,1,2,2,3,3,4,1,2,1,5,2,1,4,4,Hotel Manager
2,5,4,4,5,1,4,3,4,1,1,2,3,1,5,3,3,5,4,5,Entrepreneur
5,4,4,4,4,4,5,2,2,1,2,2,5,4,4,5,2,5,1,4,Software Developer
3,1,1,5,2,4,3,1,3,2,2,3,4,2,3,1,3,3,5,2,Software Developer
4,4,5,4,3,5,1,2,2,2,3,1,5,5,2,1,1,1,4,4,Software Developer
2,1,1,5,5,2,1,2,5,5,4,2,2,1,1,4,3,3,3,2,Graphic Designer
2,5,2,2,2,4,2,1,1,5,4,1,4,4,5,4,2,4,5,5,Army Officer
5,1,2,1,3,2,4,5,3,2,1,5,1,2,2,3,4,1,3,5,Teacher
4,3,1,2,5,1,4,4,2,2,5,5,2,2,4,2,3,1,2,5,Army Officer
3,5,3,2,1,5,3,4,2,1,2,4,1,4,2,3,2,2,2,5,Civil Engineer
4,4,4,5,3,2,3,5,4,2,1,1,3,4,1,3,5,3,3,3,Software Developer
2,3,3,2,2,5,4,1,1,3,5,3,1,2,4,5,2,4,5,5,Army Officer
1,2,5,5,4,1,3,1,3,2,2,5,2,5,1,2,1,1,2,1,Nurse
2,2,2,3,1,4,2,1,5,2,2,4,3,3,2,1,5,5,1,2,Software Developer
5,3,1,4,2,1,5,2,3,2,2,3,3,2,3,1,3,3,2,1,Software Developer
4,4,5,3,3,1,4,5,1,3,4,5,2,4,5,1,2,5,5,3,Nurse
4,3,2,5,3,4,2,1,3,2,1,3,2,2,3,2,5,3,2,1,Software Developer
1,5,3,2,2,1,5,1,1,5,3,2,3,4,4,4,5,1,3,2,Doctor
4,3,4,4,2,5,1,5,3,5,3,3,1,2,1,5,3,4,4,3,Doctor
1,2,1,3,3,2,5,5,2,5,4,5,5,5,4,5,4,2,1,2,Reporter
1,2,1,1,3,1,1,3,5,5,3,4,1,1,3,3,4,5,2,5,Biologist
1,3,4,5,4,5,1,2,4,4,2,4,4,5,5,2,1,4,1,2,Software Developer
2,5,4,3,2,4,1,5,1,2,2,1,2,4,2,5,4,3,2,2,Marketing Specialist
5,5,1,1,1,5,1,1,3,1,2,5,4,3,5,5,2,1,2,1,Software Developer
1,5,1,3,3,3,5,2,4,1,4,2,2,5,3,3,2,5,5,1,Software Developer
3,2,4,3,1,5,2,3,4,1,1,3,4,1,2,1,4,5,5,3,Farmer
4,1,1,5,5,2,5,2,1,2,2,3,5,2,1,4,2,5,3,1,Accountant
3,4,2,2,5,2,1,4,3,4,2,3,5,4,3,3,3,1,4,3,Software Developer
4,3,5,5,5,2,3,2,4,2,4,4,4,2,3,2,3,3,4,2,Software Developer
3,5,3,5,2,2,2,3,1,3,3,4,4,3,5,4,3,1,5,2,Hotel Manager
3,3,5,4,4,4,2,5,5,4,4,1,1,3,3,5,5,2,2,1,Lawyer
3,1,1,3,2,3,4,4,4,5,2,2,5,1,4,4,1,3,3,2,Software Developer
5,2,3,1,2,4,4,1,3,4,4,5,2,3,2,3,4,5,2,4,Farmer
3,2,2,4,2,5,5,4,3,4,5,1,1,2,2,1,5,2,4,4,Reporter
5,2,4,2,2,4,1,4,5,3,4,2,2,4,3,4,3,3,5,2,Software Developer
2,3,2,1,3,2,1,5,2,1,4,4,1,3,3,2,4,3,3,4,Lawyer
5,3,1,2,3,3,5,1,2,3,2,4,3,3,4,5,3,2,1,2,Software Developer
5,1,2,2,4,5,4,1,4,5,3,3,1,3,4,1,5,1,1,2,Software Developer
2,1,3,2,5,4,2,1,3,4,2,3,3,3,1,5,3,4,2,4,Entrepreneur
1,1,4,5,1,1,4,1,5,5,5,2,5,5,2,3,1,5,1,4,Software Developer
1,2,1,1,1,3,3,4,2,1,1,1,1,3,4,5,2,1,4,5,Entrepreneur
4,3,5,4,3,4,4,5,3,1,2,5,3,4,3,2,2,1,1,2,Software Developer
5,5,4,1,4,1,2,5,5,2,4,4,3,1,4,2,4,5,1,3,Software Developer
1,5,5,5,5,2,3,5,5,4,3,1,3,3,3,5,5,2,1,4,Marketing Specialist
3,1,1,2,4,3,4,2,5,1,3,5,2,4,1,3,5,5,1,4,Software Developer
2,4,4,4,1,1,2,4,1,2,2,4,3,4,3,2,1,5,2,1,Software Developer
2,4,3,2,1,4,5,4,3,4,5,1,2,3,5,3,4,3,5,2,Reporter
2,3,1,3,4,2,2,2,1,1,5,3,3,4,2,1,4,4,1,3,Lawyer
2,3,4,2,5,4,3,3,3,1,4,2,3,3,1,2,4,5,1,4,Software Developer
5,3,3,2,5,3,3,2,4,3,1,1,4,5,2,1,1,4,5,5,Software Developer
4,1,2,1,5,1,2,3,1,4,3,4,4,4,1,5,3,2,5,1,Hotel Manager
4,2,3,5,5,2,1,3,2,4,3,5,2,5,5,5,1,5,4,4,Entrepreneur
3,5,5,2,1,3,5,2,1,3,3,5,3,2,3,4,2,1,1,5,Nurse
5,4,1,1,1,1,3,2,2,4,3,1,1,5,5,4,1,4,3,2,Civil Engineer
1,3,1,5,4,5,2,5,1,5,1,2,5,4,4,4,5,5,5,1,Biologist
2,4,1,4,1,5,4,5,4,3,1,3,1,2,4,2,2,1,3,5,Graphic Designer
1,5,2,5,3,1,3,3,1,3,4,4,4,5,3,1,1,5,1,4,Software Developer
3,1,1,2,2,2,3,4,4,4,3,3,2,1,5,5,1,2,1,1,Marketing Specialist
5,2,3,5,3,2,1,4,4,2,4,3,4,2,2,3,4,4,1,5,Software Developer
2,1,2,1,5,1,2,4,2,3,3,3,3,5,4,4,2,1,2,2,Marketing Specialist
2,2,4,1,2,4,2,3,2,2,5,3,1,2,1,3,2,5,4,5,Nurse
5,4,4,4,2,1,1,4,5,3,4,5,5,2,2,1,1,3,3,3,Software Developer
3,5,5,1,2,2,4,5,3,3,4,2,3,2,4,2,2,2,3,1,Doctor
5,2,2,2,1,4,3,1,2,1,1,1,4,5,3,4,4,5,4,1,Software Developer
1,2,4,2,3,1,3,5,1,3,5,3,5,5,1,2,5,5,1,2,Lawyer
4,4,2,3,1,2,4,5,4,5,1,5,2,5,3,2,1,2,3,1,Software Developer
4,3,1,5,2,1,2,5,1,4,3,1,5,1,2,1,4,1,3,1,Lawyer
2,1,4,5,1,1,3,4,5,2,1,5,2,4,4,5,2,4,5,4,Hotel Manager
4,4,3,2,5,5,2,2,2,2,1,5,1,4,4,5,4,2,1,2,Civil Engineer
4,1,2,5,2,4,1,5,1,5,1,4,5,3,1,1,2,5,3,4,Software Developer
2,3,5,3,1,1,2,5,5,3,2,5,1,3,4,1,2,5,1,4,Nurse
4,2,1,3,1,4,2,2,3,2,2,2,2,2,4,1,5,2,5,5,Software Developer
4,2,5,2,3,3,3,5,3,4,4,5,2,1,2,2,2,2,1,3,Nurse
2,4,5,5,4,2,1,3,5,3,1,5,3,1,3,2,1,3,2,2,Software Developer
1,4,5,1,2,2,1,4,5,3,1,5,5,2,3,1,2,2,4,5,Software Developer
1,1,1,2,4,3,2,3,4,5,1,3,2,3,5,1,3,5,2,4,Biologist
2,1,2,2,2,2,1,5,3,4,3,3,4,1,4,1,3,1,5,4,Lawyer
5,3,4,3,5,3,4,4,3,4,4,3,5,4,4,4,4,3,5,5,Software Developer
1,4,4,1,5,2,2,5,4,2,3,3,1,5,5,2,4,5,2,2,Lawyer
5,2,1,1,5,4,1,1,5,3,2,1,3,4,3,5,4,4,3,5,Software Developer
1,3,1,3,1,3,4,2,4,1,5,4,2,1,4,3,5,1,4,1,Chef
3,2,4,1,1,1,2,1,5,5,1,5,4,5,1,3,4,2,1,2,Software Developer
3,2,1,1,3,1,3,3,1,5,3,1,5,3,5,4,4,5,3,1,Biologist
2,1,2,2,3,5,1,5,4,3,3,4,1,4,1,2,3,1,5,5,Chef
3,4,4,1,4,3,1,2,4,4,1,5,4,3,4,2,4,5,4,1,Software Developer
4,5,1,3,1,2,1,3,4,1,1,1,1,3,5,5,1,3,3,1,Software Developer
2,1,2,1,2,2,1,2,4,5,3,2,2,3,2,3,1,4,4,5,Software Developer
2,5,1,4,1,1,2,1,4,5,4,2,4,3,5,3,3,2,1,3,Software Developer
4,1,4,4,1,1,4,2,5,5,2,1,4,5,4,2,4,2,1,2,Software Developer
2,5,4,5,3,2,3,5,4,5,4,4,1,2,5,4,5,5,4,3,Biologist
2,2,1,1,1,2,3,2,2,2,2,3,1,5,1,1,5,2,3,3,Software Developer
1,5,4,2,1,3,5,5,1,4,3,1,4,5,2,3,3,4,1,5,Reporter
4,2,2,2,4,5,3,1,3,5,3,4,2,5,5,3,4,3,3,5,Software Developer
3,2,3,2,5,4,2,4,4,2,5,1,4,4,5,5,3,5,4,2,Software Developer
1,3,2,1,1,1,2,3,3,1,2,1,5,3,4,1,5,3,2,3,Software Developer
2,2,1,1,3,5,3,4,2,2,1,5,1,4,3,3,5,1,1,4,Teacher
3,1,5,3,4,5,2,4,5,1,2,4,1,2,3,1,5,4,2,1,Farmer
3,4,4,1,3,2,1,2,4,2,3,5,3,2,1,4,5,1,1,3,Software Developer
2,3,2,3,1,4,2,5,5,1,3,3,1,5,5,3,2,4,2,5,Software Developer
2,4,2,2,2,2,1,5,4,5,1,1,1,1,2,5,3,4,1,5,Entrepreneur
1,1,1,1,1,4,5,1,1,1,1,2,2,3,1,3,4,3,5,2,Reporter
2,1,1,4,4,5,1,1,4,4,4,2,3,3,1,2,4,1,2,5,Software Developer
2,1,3,4,5,2,1,1,4,1,1,4,5,3,3,2,5,2,3,4,Software Developer
1,3,5,3,5,5,5,2,4,3,4,1,3,4,4,1,5,3,3,1,Software Developer
5,3,3,3,5,1,3,4,5,2,1,4,3,2,1,5,2,2,4,1,Software Developer
4,4,3,5,2,1,5,5,1,5,3,5,3,2,2,4,3,2,5,1,Hotel Manager
1,3,4,5,3,1,3,5,2,5,2,2,2,3,1,3,1,5,4,5,Doctor
3,3,1,3,2,3,1,1,2,1,4,5,3,4,3,4,3,2,1,1,Software Developer
2,4,5,4,1,5,3,5,4,2,3,4,3,5,1,4,2,5,4,2,Software Developer
4,5,4,3,5,4,1,4,3,2,2,2,1,3,5,2,3,4,1,3,Civil Engineer
3,5,3,5,1,1,4,5,5,2,2,4,1,2,3,1,3,5,1,4,Graphic Designer
5,5,3,5,2,1,2,3,3,1,5,4,3,1,4,5,3,1,1,1,Software Developer
3,4,1,5,1,4,3,1,1,5,5,1,1,5,4,2,2,1,5,3,Civil Engineer
3,2,4,2,1,4,3,5,5,1,2,1,5,3,5,4,5,5,4,2,Software Developer
5,1,5,1,4,5,4,4,2,5,1,1,5,2,2,2,1,4,2,1,Software Developer
1,4,5,5,2,2,4,2,4,1,2,1,3,4,3,2,1,2,3,2,Graphic Designer
5,3,2,1,2,1,5,2,5,3,1,3,1,5,4,2,5,1,1,1,Software Developer
1,2,3,4,2,1,2,5,1,4,1,4,4,3,3,2,2,4,1,5,Teacher
5,1,1,3,5,4,2,3,5,1,5,4,3,1,4,2,3,4,4,1,Software Developer
2,4,3,4,5,3,3,4,1,3,5,1,1,1,3,1,4,1,5,2,Lawyer
5,3,1,1,4,1,5,3,2,1,2,1,3,5,3,2,1,2,5,3,Software Developer
2,2,5,1,2,5,1,1,3,5,1,3,4,5,4,1,5,3,1,5,Software Developer
5,4,1,3,3,1,1,2,4,1,1,2,2,5,3,4,5,1,2,3,Software Developer
5,3,2,5,5,3,2,1,5,1,2,5,5,1,4,1,1,4,2,2,Software Developer
5,3,3,5,3,1,1,4,4,5,5,5,1,3,5,5,1,1,1,3,Software Developer
5,2,2,5,5,5,5,3,2,4,2,2,1,5,5,5,1,3,3,4,Entrepreneur
3,3,5,2,3,3,1,4,1,5,2,4,1,3,3,4,3,1,1,3,Doctor
3,5,2,4,1,4,5,1,5,5,3,4,4,3,4,3,1,5,5,4,Software Developer
2,5,3,2,2,5,5,5,3,2,4,3,1,5,2,3,1,3,3,4,Civil Engineer
4,3,1,2,2,5,5,2,3,3,4,4,5,2,3,2,1,2,1,4,Software Developer
4,5,2,2,1,4,1,4,1,4,1,4,1,2,5,1,5,2,2,4,Teacher
5,3,4,5,1,1,2,3,1,5,5,1,5,5,2,3,2,3,5,3,Software Developer
5,5,2,2,4,1,4,4,3,5,5,5,1,3,3,5,4,1,4,2,Chef
3,3,4,1,3,4,1,4,1,5,1,2,5,4,5,5,4,4,2,4,Software Developer
3,3,2,1,1,3,4,2,1,1,5,3,4,2,1,5,3,3,2,1,Software Developer
2,2,5,3,4,3,3,5,4,1,4,1,4,2,4,5,1,3,5,1,Marketing Specialist
1,3,2,5,3,3,2,5,3,2,5,4,1,2,1,4,3,3,5,2,Chef
2,5,1,3,3,2,2,5,4,1,4,4,2,2,2,4,1,2,3,1,Marketing Specialist
3,1,2,5,2,4,4,1,4,2,3,2,1,4,3,5,3,3,2,5,Graphic Designer
1,1,3,3,4,5,3,4,5,1,4,5,4,3,2,1,3,3,5,4,Chef
1,3,5,1,4,3,3,3,1,1,1,1,5,2,5,3,5,4,1,4,Entrepreneur
4,3,1,4,3,1,2,3,5,1,4,4,5,5,4,1,3,5,5,5,Software Developer
2,1,1,1,1,1,4,5,4,2,3,5,2,4,3,2,3,2,4,3,Teacher
